curso;unidade
ESPECIALIZAÇÃO EM ENGENHARIA DE OPERAÇÕES E GESTÃO DE ATIVOS;DEPARTAMENTO DE ENGENHARIA PRODUÇÃO
ESPECIALIZAÇÃO EM ENGENHARIA DE SEGURANÇA DO TRABALHO;DEPARTAMENTO DE ENGENHARIA PRODUÇÃO
ESPECIALIZAÇÃO EM ENGENHARIA E SEGURANÇA DO TRABALHO;DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL
ESPECIALIZAÇÃO EM ENSINO-APRENDIZAGEM DE INGLÊS COMO LÍNGUA ESTRANGEIRA;DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS
ESPECIALIZAÇÃO EM ENSINO-APRENDIZAGEM DE LÍNGUA PORTUGUESA;DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO
ESPECIALIZAÇÃO EM ENSINO DE ARTES NA EDUCAÇÃO BÁSICA: MÚSICA;ESCOLA DE MÚSICA
ESPECIALIZAÇÃO EM ENSINO DE CIÊNCIAS - ANOS FINAIS DO ENSINO FUNDAMENTAL;PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA
ESPECIALIZAÇÃO EM ENSINO DE EDUCAÇÃO FÍSICA ESCOLAR;DEPARTAMENTO DE EDUCAÇÃO FÍSICA
ESPECIALIZAÇÃO EM ENSINO DE ESPANHOL COMO LÍNGUA ESTRANGEIRA;DEPARTAMENTO DE LETRAS - CERES
ESPECIALIZAÇÃO EM ENSINO DE ESPANHOL COMO LÍNGUA ESTRANGEIRA;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM ENSINO DE FILOSOFIA NO ENSINO MÉDIO;DEPARTAMENTO DE FILOSOFIA
ESPECIALIZAÇÃO EM ENSINO DE GEOGRAFIA;CERES - DEPARTAMENTO DE GEOGRAFIA
ESPECIALIZAÇÃO EM ENSINO DE LÍNGUAS E CULTURAS HISPÂNICAS;DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS
ESPECIALIZAÇÃO EM ENSINO DE MATEMÁTICA;DEPARTAMENTO DE MATEMÁTICA
ESPECIALIZAÇÃO EM ENSINO DE MATEMÁTICA NOS ANOS INICIAIS DO FUNDAMENTAL;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM ENSINO DE MÚSICA EM MÚLTIPLOS CONTEXTOS;ESCOLA DE MÚSICA
ESPECIALIZAÇÃO EM ENSINO DE MÚSICA NA EDUCAÇÃO BÁSICA;ESCOLA DE MÚSICA
ESPECIALIZAÇÃO EM ENSINO DE PORTUGUÊS E LINGUÍSTICA;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM ENSINO DE SOCIOLOGIA NO ENSINO MÉDIO;DEPARTAMENTO DE CIÊNCIAS SOCIAIS
ESPECIALIZAÇÃO EM ENSINO E APRENDIZAGEM DE INGLÊS COMO LÍNGUA ESTRANGEIRA;DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS
ESPECIALIZAÇÃO EM ENSINO E APRENDIZAGEM DE LÍNGUAS;CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
ESPECIALIZAÇÃO EM EQUIDEOCULTURA;ESCOLA AGRÍCOLA DE JUNDIAÍ
ESPECIALIZAÇÃO EM ESINO DE CIÊNCIAS;PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS E MATEMÁTICA
ESPECIALIZAÇÃO EM ESTRATÉGIAS LINGUÍSTICO-DISCURSIVAS DE AVALIAÇÃO;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM ESTUDOS DA ESCRITA E ENSINO;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM ESTUDOS SOBRE A LINGUAGEM: TEORIAS E ENSINO (ESTEIO);DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM EXECUÇÃO PENAL;DEPARTAMENTO DE DIREITO PROCESSUAL E PROPEDÊUTICA - DEPRO
ESPECIALIZAÇÃO EM FARMÁCIA CLÍNICA COMUNITÁRIA E HOSPITALAR;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS APLICADAS À SAÚDE DA MULHER
ESPECIALIZAÇÃO EM FARMÁCIA HOSPITALAR COM ÊNFASE EM ONCOLOGIA;DEPARTAMENTO DE FARMACIA
ESPECIALIZAÇÃO EM FINANÇAS;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM FINANÇAS CORPORATIVAS;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM FINANÇAS CORPORATIVAS;CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
ESPECIALIZAÇÃO EM FISIOLOGIA CLÍNICA DO EXERCÍCIO;DEPARTAMENTO DE EDUCAÇÃO FÍSICA
ESPECIALIZAÇÃO EM FISIOLOGIA CLÍNICA DO EXERCÍCIO;FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA
ESPECIALIZAÇÃO EM FISIOLOGIA DO EXERCÍCIO: BASES TEÓRICAS PRÁTICAS FITNESS E PERSONAL TRAINER;DEPARTAMENTO DE EDUCAÇÃO FÍSICA
ESPECIALIZAÇÃO EM FISIOTERAPIA CARDIORRESPIRATÓRIA;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FISIOTERAPIA MATERNO-INFANTIL;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FISIOTERAPIA NEONATAL;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FISIOTERAPIA TRAUMATO-ORTOPÉDICA E DESPORTIVA - TURMA I;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FISIOTERAPIA TRAUMATO-ORTOPÉDICA E DESPORTIVA - TURMA II;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FISIOTERAPIA TRAUMATO-ORTOPÉDICA E DESPORTIVA - TURMA III;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FISIOTERAPIA TRAUMATO-ORTOPÉDICA E DESPORTIVA - TURMA IV;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FISIOTERAPIA TRAUMATO-ORTOPÉDICA E ESPORTIVA;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FISIOTERAPIA TRAUMATO-ORTOPÉDICA E ESPORTIVA - TURMA 6;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM FORMAÇÃO DE PROFESSORES DA ÁREA DA SAÚDE;DEPARTAMENTO DE ODONTOLOGIA
ESPECIALIZAÇÃO EM FRUTICULTURA IRRIGADA;ESCOLA AGRÍCOLA DE JUNDIAÍ
ESPECIALIZAÇÃO EM FUNDAMENTOS LINGUÍSTICOS PARA O ENSINO DA LEITURA E DA ESCRITA;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM GEOPROCESSAMENTO E ANÁLISE AMBIENTAL;CERES - DEPARTAMENTO DE GEOGRAFIA
ESPECIALIZAÇÃO EM GEOPROCESSAMENTO E CARTOGRAFIA DIGITAL;DEPARTAMENTO DE GEOGRAFIA/CCHLA
ESPECIALIZAÇÃO EM GERONTOLOGIA;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM GESTÃO AMBIENTAL;ESCOLA AGRÍCOLA DE JUNDIAÍ
ESPECIALIZAÇÃO EM GESTÃO AMBIENTAL;DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL
ESPECIALIZAÇÃO EM GESTÃO AMBIENTAL COSTEIRA;DEPARTAMENTO DE OCEANOGRAFIA E LIMNOLOGIA
ESPECIALIZAÇÃO EM GESTÃO AMBIENTAL E DESENVOLVIMENTO SUSTENTÁVEL;CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS
ESPECIALIZAÇÃO EM GESTÃO AMBIENTAL E INTELIGÊNCIA TERRITORIAL;PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA
ESPECIALIZAÇÃO EM GESTÃO AMBIENTAL URBANA - CURSO III;PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA
ESPECIALIZAÇÃO EM GESTÃO CULTURAL;ESCOLA DE MÚSICA
ESPECIALIZAÇÃO EM GESTÃO DA ASSISTÊNCIA FARMACÊUTICA;DEPARTAMENTO DE FARMACIA
ESPECIALIZAÇÃO EM GESTÃO DA INOVAÇÃO NA SEGURANÇA PÚBLICA;DEPARTAMENTO DE ADMINISTRAÇÃO PUBLICA E GESTÃO SOCIAL
ESPECIALIZAÇÃO EM GESTÃO DA JURISDIÇÃO INOVADORA;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GESTÃO DE BIBLIOTECAS ESCOLARES;DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO
ESPECIALIZAÇÃO EM GESTÃO DE EVENTOS;CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
ESPECIALIZAÇÃO EM GESTÃO DE PESSOAS;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GESTÃO DE POLÍTICA DE DST, AIDS HEPATITES VIRAIS E TUBERCULOSE;NÚCLEO DE ESTUDOS EM SAÚDE COLETIVA
ESPECIALIZAÇÃO EM GESTÃO DE POLÍTICAS PÚBLICAS;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
ESPECIALIZAÇÃO EM GESTÃO DE PROCESSOS;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO DE PROCESSOS;DEPARTAMENTO DE ADMINISTRAÇÃO PUBLICA E GESTÃO SOCIAL
ESPECIALIZAÇÃO EM GESTÃO DE PROJETOS;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO DE PROJETOS;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GESTÃO DE TI;SUPERINTENDÊNCIA DE TECNOLOGIA DA INFORMAÇÃO
ESPECIALIZAÇÃO EM GESTÃO DINÂMICA DE PROJETOS;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GESTÃO DINÂMICA DE PROJETOS 2023;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO DINÂMICA DE PROJETOS 2023.2;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO DOCUMENTAL;DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO
ESPECIALIZAÇÃO EM GESTÃO DO TRABALHO E DA EDUCAÇÃO NA SAÚDE;DEPARTAMENTO DE SAÚDE COLETIVA
ESPECIALIZAÇÃO EM GESTÃO E INOVAÇÃO;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM GESTÃO EM MICRO E PEQUENAS EMPRESAS COM FOCO NAS NORMAS INTERNACIONAIS;CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS
ESPECIALIZAÇÃO EM GESTÃO EM SAÚDE;ESCOLA DE SAÚDE
ESPECIALIZAÇÃO EM GESTÃO EM SAÚDE MODALIDADE A DISTÂNCIA;ESCOLA DE SAÚDE
ESPECIALIZAÇÃO EM GESTÃO ESCOLAR;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
ESPECIALIZAÇÃO EM GESTÃO ESCOLAR;UNIDADE CURRICULAR INTEGRADA
ESPECIALIZAÇÃO EM GESTÃO ESCOLAR;DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO
ESPECIALIZAÇÃO EM GESTÃO ESCOLAR MODALIDADE A DISTÂNCIA;DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO
ESPECIALIZAÇÃO EM GESTÃO ESCOLAR MODALIDADE A DISTÂNCIA;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE CUSTOS;DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC
ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS;CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE PESSOAS;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE SISTEMAS DE INFORMAÇÃO;DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO
ESPECIALIZAÇÃO EM GESTÃO INDUSTRIAL;DEPARTAMENTO DE ENGENHARIA PRODUÇÃO
ESPECIALIZAÇÃO EM GESTÃO INTEGRADA DE CIDADES E DESENV DE PROJETOS SÓCIO-URBANOS;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS
ESPECIALIZAÇÃO EM GESTÃO INTERNACIONAL EM TECNOLOGIA E INOVAÇÃO;INSTITUTO METROPOLE DIGITAL
ESPECIALIZAÇÃO EM GESTÃO NA EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;ESCOLA DE SAÚDE
ESPECIALIZAÇÃO EM GESTÃO PÚBLICA;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
ESPECIALIZAÇÃO EM GESTÃO PÚBLICA;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO PUBLICA, AUDITORIA E CONTROLADORIA;CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS
ESPECIALIZAÇÃO EM GESTÃO PÚBLICA, AUDITORIA E CONTROLADORIA.;CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS
ESPECIALIZAÇÃO EM GESTÃO PÚBLICA, AUDITORIA E CONTROLADORIA COM FOCO NAS NORMAS INTERNACIONAIS;CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS
ESPECIALIZAÇÃO EM GESTÃO PÚBLICA E ESG;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM GESTÃO PÚBLICA MUNICIPAL;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
ESPECIALIZAÇÃO EM GESTÃO PÚBLICA MUNICIPAL;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GESTÃO PÚBLICA PARA MINISTÉRIO PÚBLICO DO RIO GRANDE DO NORTE;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GESTÃO QUANTITATIVA DE CARTEIRAS;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GESTÃO UNIVERSITÁRIA;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GESTÃO UNIVERSITÁRIA - CURSO II;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM GOVERNANÇA E GESTÃO ÁGIL DA JUSTIÇA FEDERAL (JF);DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GOVERNANÇA E GESTÃO ÁGIL NA JUSTIÇA FEDERAL;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GOVERNANÇA E GESTÃO DE PESSOAS NA JUSTIÇA FEDERAL;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM GP;DEPARTAMENTO DE ENGENHARIA PRODUÇÃO
ESPECIALIZAÇÃO EM HEMATOLOGIA CLÍNICO-LABORATORIAL;DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS
ESPECIALIZAÇÃO EM HISTÓRIA DO BRASIL;CERES - DEPARTAMENTO DE HISTÓRIA
ESPECIALIZAÇÃO EM HISTÓRIA DOS SERTÕES;CERES - DEPARTAMENTO DE HISTÓRIA
ESPECIALIZAÇÃO EM HISTÓRIA E CULTURA AFRICANA E AFRO-BRASILEIRA;CERES - DEPARTAMENTO DE HISTÓRIA
ESPECIALIZAÇÃO EM HISTÓRIA E CULTURA AFRO-BRASILEIRA E AFRICANA;NÚCLEO CÂMARA CASCUDO DE ESTUDOS
ESPECIALIZAÇÃO EM IMPLANTODONTIA;DEPARTAMENTO DE ODONTOLOGIA
ESPECIALIZAÇÃO EM INFORMÁTICA EM SAÚDE;DEPARTAMENTO DE ENGENHARIA BIOMEDICA
ESPECIALIZAÇÃO EM INFORMÁTICA NA SAÚDE;DEPARTAMENTO DE COMPUTAÇÃO E TECNOLOGIA
ESPECIALIZAÇÃO EM INFORMÁTICA NA SAÚDE;DEPARTAMENTO DE ENGENHARIA BIOMEDICA
ESPECIALIZAÇÃO EM INTEGRAÇÃO DA EDUCAÇÃO PROFISSIONAL E DA EJA: PROEJA;DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO
ESPECIALIZAÇÃO EM INTELIGÊNCIA E ANÁLISE ESTRATÉGICA DE NEGÓCIOS;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM LEITURA E PRODUÇÃO DE TEXTOS;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM LIBRAS;DEPARTAMENTO DE LETRAS - CERES
ESPECIALIZAÇÃO EM LÍNGUA ESPANHOLA, LITERATURA E TRADUÇÃO;DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS
ESPECIALIZAÇÃO EM LINGUAGEM;DEPARTAMENTO DE FONOAUDIOLOGIA
ESPECIALIZAÇÃO EM LÍNGUA INGLESA;CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
ESPECIALIZAÇÃO EM LÍNGUA LATINA;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM LÍNGUA PORGUESA: GRAMÁTICA, TEXTO E DISCURSO;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM LÍNGUA PORTUGUESA, GRAMÁTICA, TEXTO E DISCURSO;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM LÍNGUA PORTUGUESA: GRAMÁTICA, TEXTO E DISCURSO;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM
ESPECIALIZAÇÃO EM LINGUAS ESTRANGEIRAS;DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS
ESPECIALIZAÇÃO EM LÍNGUAS ESTRANGEIRAS PARA INTERNACIONALIZAÇÃO;DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS
ESPECIALIZAÇÃO EM LINGUÍSTICA E ENSINO DA LÍNGUA MATERNA (ELINGEM);CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
ESPECIALIZAÇÃO EM LINGUÍSTICA E ENSINO DE LÍNGUA MATERNA - ELINGEM;DEPARTAMENTO DE LETRAS - CERES
ESPECIALIZAÇÃO EM LINGUÍSTICA E ENSINO DE LÍNGUA PORTUGUESA;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM LINGUÍSTICA E ENSINO DE TEXTO;DEPARTAMENTO DE LETRAS - CERES
ESPECIALIZAÇÃO EM LINGUISTICA FORENSE;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM LINGUÍSTICA FORENSE;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM LINGUÍSTICA TEXTUAL E ENSINO;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM LINGUÍSTICA TEXTUAL E ENSINO;DEPARTAMENTO DE LETRAS - CERES
ESPECIALIZAÇÃO EM LITERATURA AFRO-BRASILEIRA;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM LITERATURA BRASILEIRA - CELB;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM LITERATURA CLÁSSICA;DEPARTAMENTO DE LETRAS
ESPECIALIZAÇÃO EM LITERATURA E CULTURA DO RIO GRANDE DO NORTE;NÚCLEO CÂMARA CASCUDO DE ESTUDOS
ESPECIALIZAÇÃO EM LITERATURA E ENSINO;DEPARTAMENTO DE LETRAS - CERES
ESPECIALIZAÇÃO EM LITERATURA E ENSINO;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM LITERATURA NA ESCOLA;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
ESPECIALIZAÇÃO EM LOGÍSTICA;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM MANEJO SUSTENTÁVEL DO SEMIÁRIDO;ESCOLA AGRÍCOLA DE JUNDIAÍ
ESPECIALIZAÇÃO EM MARKETING;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM MARKETING II;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM MBA EM INTELIGÊNCIA DE DADOS;INSTITUTO METROPOLE DIGITAL
ESPECIALIZAÇÃO EM MEDICINA PSICODÉLICA: ABORDAGENS AVANÇADAS NO TRATAMENTO DA SAÚDE MENTAL;INSTITUTO DO CÉREBRO
ESPECIALIZAÇÃO EM MEIO AMBIENTE, SAÚDE E DESENVOLVIMENTO;DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA
ESPECIALIZAÇÃO EM MERCADO DE CAPITAIS;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
ESPECIALIZAÇÃO EM MERCADO DE CAPITAIS;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM METALURGIA DA FUNDIÇÃO;DEPARTAMENTO DE ENGENHARIA DE MATERIAIS
ESPECIALIZAÇÃO EM METODOLOGIA CIENTÍFICA PARA FORMAÇÃO DE PROFESSORES;DEPARTAMENTO DE COMPUTAÇÃO E TECNOLOGIA
ESPECIALIZAÇÃO EM METODOLOGIA PARA AÇÕES TRANSFORMADORAS;DEPARTAMENTO DE ARQUITETURA
ESPECIALIZAÇÃO EM METODOLOGIAS ATIVAS DE APRENDIZAGEM;INSTITUTO METROPOLE DIGITAL
ESPECIALIZAÇÃO EM MÉTODOS E TÉCNICAS DE ENSINO;DEPARTAMENTO DE EDUCAÇÃO - CERES
ESPECIALIZAÇÃO EM MÉTODOS QUANTITATIVOS APLICADOS AO CONTROLE EXTERNO;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
ESPECIALIZAÇÃO EM MICROBIOLOGIA CLÍNICA;DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA
ESPECIALIZAÇÃO EM MÍDIAS NA EDUCAÇÃO;SECRETARIA DE EDUCAÇÃO A DISTÂNCIA
ESPECIALIZAÇÃO EM MÚSICA POPULAR;ESCOLA DE MÚSICA
ESPECIALIZAÇÃO EM MÚSICA - PRÁTICAS INTERPRETATIVAS;ESCOLA DE MÚSICA
ESPECIALIZAÇÃO EM MÚSICA - PRÁTICAS INTERPRETATIVAS DO SÉC. XX E XXI - CURSO II;ESCOLA DE MÚSICA
ESPECIALIZAÇÃO EM MÚSICA - PRÁTICAS INTERPRETATIVAS DOS SÉCULOS XX E XXI;ESCOLA DE MÚSICA
ESPECIALIZAÇÃO EM NEGOCIAÇÃO, CONCILIAÇÃO, MEDIAÇÃO E ARBITRAGEM;DEPARTAMENTO DE DIREITO PRIVADO - DIPRI
ESPECIALIZAÇÃO EM NEUROCIÊNCIAS APLICADA AOS NEGÓCIOS;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM NEUROCIÊNCIAS APLICADAS AOS NEGÓCIOS;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ESPECIALIZAÇÃO EM NEUROPSICOLOGIA CLÍNICA;DEPARTAMENTO DE PSICOLOGIA
ESPECIALIZAÇÃO EM NEUROPSICOPEDAGOGIA INSTIT E EDUC ESPEC NA PERSPEC DA INCLUSÃO;DEPARTAMENTO DE EDUCAÇÃO - CERES
ESPECIALIZAÇÃO EM NEURORREABILITAÇÃO;DEPARTAMENTO DE FISIOTERAPIA
ESPECIALIZAÇÃO EM ORTODONTIA;DEPARTAMENTO DE ODONTOLOGIA
ESPECIALIZAÇÃO EM PERIODONTIA;DEPARTAMENTO DE ODONTOLOGIA
ESPECIALIZAÇÃO EM PLANEJAMENTO TRIBUTÁRIO;DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC
ESPECIALIZAÇÃO EM PLANEJAMENTO TRIBUTÁRIO;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS
ESPECIALIZAÇÃO EM PLANEJAMENTO TRIBUTÁRIO - CURSO II;DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC
ESPECIALIZAÇÃO EM POLÍTICAS PÚBLICAS;NÚCLEO AVANÇADO DE POLÍTICAS PÚBLICAS
ESPECIALIZAÇÃO EM PRECEPTORIA EM SAÚDE;ESCOLA DE SAÚDE
ESPECIALIZAÇÃO EM PREVENÇÃO AO USO DO ÁLCOOL E OUTRAS DROGAS;DEPARTAMENTO DE SERVIÇO SOCIAL - DESSO
ESPECIALIZAÇÃO EM PROCESSO DE CUIDAR EM SAÚDE;PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM
ESPECIALIZAÇÃO EM PROCESSOS E PRODUTOS TÊXTEIS;DEPARTAMENTO DE ENGENHARIA TÊXTIL
ESPECIALIZAÇÃO EM PRODUÇÃO DE DOCUMENTÁRIOS;DEPARTAMENTO DE COMUNICAÇÃO SOCIAL
