id_curso;curso;id_unidade;unidade
9285380;DOUTORADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR;31300;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOQUÍMICA E BIOLOGIA MOLECULAR
315788;DOUTORADO EM BIOTECNOLOGIA;3014;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA
315743;DOUTORADO EM CIÊNCIA DA COMPUTAÇÃO;73;PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO
177609429;DOUTORADO EM CIÊNCIA DA INFORMAÇÃO;32531;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DA INFORMAÇÃO
315771;DOUTORADO EM CIÊNCIA E ENGENHARIA DE MATERIAIS;68;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE MATERIAIS
315787;DOUTORADO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO;2598;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO
17975012;DOUTORADO EM CIÊNCIAS CLIMÁTICAS;5211;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CLIMÁTICAS
315774;DOUTORADO EM CIÊNCIAS DA SAÚDE;66;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA SAÚDE
110710810;DOUTORADO EM CIÊNCIAS FARMACÊUTICAS;366;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FARMACÊUTICAS
168173029;DOUTORADO EM CIÊNCIAS FISIOLÓGICAS;32254;PROGRAMA DE PÓS-GRADUAÇÃO MULTICÊNTRICO EM CIÊNCIAS FISIOLÓGICAS (CCS/FACISA)
130260440;DOUTORADO EM CIÊNCIAS ODONTOLÓGICAS;11354;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS ODONTOLÓGICAS
315777;DOUTORADO EM CIÊNCIAS SOCIAIS;360;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS SOCIAIS
132958656;DOUTORADO EM DEMOGRAFIA;5570;PROGRAMA DE PÓS-GRADUAÇÃO EM DEMOGRAFIA
9300591;DOUTORADO EM DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS;4847;PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS
19018260;DOUTORADO EM DESENVOLVIMENTO E MEIO AMBIENTE;5237;PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE - PRODEMA
9300592;DOUTORADO EM ECOLOGIA;4846;PROGRAMA DE PÓS-GRADUAÇÃO EM ECOLOGIA
170068950;DOUTORADO EM ECONOMIA;434;PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA
