"id_curso";"nome";"id_coordenador";"coordenador";"situacao_curso";"nivel_ensino";"grau_academico";"modalidade_educacao";"area_conhecimento";"tipo_oferta";"turno";"tipo_ciclo_formacao";"municipio";"campus";"id_unidade_responsavel";"unidade_responsavel";"website";"data_funcionamento";"codigo_inep";"dou";"portaria_reconhecimento";"convenio_academico"
"95713894";"ESPECIALIZAÇÃO EM DIREITO TRIBUTÁRIO";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"107607888";"ESPECIALIZAÇÃO EM DIREITO TRIBUTÁRIO";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"128876049";"ESPECIALIZAÇÃO EM DIREITO TRIBUTÁRIO";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"84";"DEPARTAMENTO DE DIREITO PUBLICO - DIPUB";"";"";"";"";"";""
"176101359";"ESPECIALIZAÇÃO EM DIREITO TRIBUTÁRIO CONTEMPORÂNEO";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"84";"DEPARTAMENTO DE DIREITO PUBLICO - DIPUB";"";"";"";"";"";""
"160089006";"ESPECIALIZAÇÃO EM DIREITO TRIBUTÁRIO CONTEMPORÂNEO";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"84";"DEPARTAMENTO DE DIREITO PUBLICO - DIPUB";"";"";"";"";"";""
"2821199";"ESPECIALIZAÇÃO EM DIREITO TRIBUTÁRIO - CURSO IV";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"84";"DEPARTAMENTO DE DIREITO PUBLICO - DIPUB";"";"";"";"";"";""
"105104013";"ESPECIALIZAÇÃO EM DOCÊNCIA NA EDUCAÇÃO INFANTIL";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"1452";"NÚCLEO DE EDUCAÇÃO DA INFÂNCIA";"";"";"";"";"";""
"91861738";"ESPECIALIZAÇÃO EM DOCÊNCIA NA EDUCAÇÃO INFANTIL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"1452";"NÚCLEO DE EDUCAÇÃO DA INFÂNCIA";"";"";"";"";"";""
"98042783";"ESPECIALIZAÇÃO EM DOCÊNCIA NA EDUCAÇÃO INFANTIL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"1452";"NÚCLEO DE EDUCAÇÃO DA INFÂNCIA";"";"";"";"";"";""
"96435811";"ESPECIALIZAÇÃO EM ECONOMIA DO SETOR PÚBLICO";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"160";"DEPARTAMENTO DE ECONOMIA - DEPEC";"";"";"";"";"";""
